filing_date,source_available_date,source_accession,section,feature_type,feature_name,value,prev_filing_date
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,supply_constraints,0.003035,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,competition,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,customer_concentration,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,gaming_cyclicality,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,margin_pricing_pressure,0.003035,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,inventory_demand_cyclicality,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,ai_accelerated_computing,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,data_center,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,export_controls_china,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,supply_constraints,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,competition,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,customer_concentration,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,gaming_cyclicality,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,margin_pricing_pressure,0.0,
2025-11-19,2025-11-19,0001045810-25-000230,mda,keyword_score,inventory_demand_cyclicality,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,ai_accelerated_computing,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,data_center,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,export_controls_china,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,supply_constraints,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,competition,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,customer_concentration,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,gaming_cyclicality,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,margin_pricing_pressure,0.0,
2025-08-27,2025-08-27,0001045810-25-000209,mda,keyword_score,inventory_demand_cyclicality,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,ai_accelerated_computing,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,data_center,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,export_controls_china,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,supply_constraints,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,competition,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,customer_concentration,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,gaming_cyclicality,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,margin_pricing_pressure,0.0,
2025-05-28,2025-05-28,0001045810-25-000116,mda,keyword_score,inventory_demand_cyclicality,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,ai_accelerated_computing,0.017349,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,data_center,0.00699,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,export_controls_china,0.002247,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,supply_constraints,0.003245,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,competition,0.003994,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,customer_concentration,0.000125,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,gaming_cyclicality,0.007239,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,margin_pricing_pressure,0.00025,
2025-02-26,2025-02-26,0001045810-25-000023,business,keyword_score,inventory_demand_cyclicality,0.000874,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,ai_accelerated_computing,0.004743,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,data_center,0.001921,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,export_controls_china,0.004323,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,supply_constraints,0.003302,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,competition,0.002281,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,customer_concentration,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,gaming_cyclicality,0.001741,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,margin_pricing_pressure,0.00084,
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,keyword_score,inventory_demand_cyclicality,0.004803,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,ai_accelerated_computing,0.003757,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,data_center,0.006318,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,export_controls_china,0.003074,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,supply_constraints,0.003757,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,competition,0.001025,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,customer_concentration,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,gaming_cyclicality,0.002049,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,margin_pricing_pressure,0.003757,
2025-02-26,2025-02-26,0001045810-25-000023,mda,keyword_score,inventory_demand_cyclicality,0.008538,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,ai_accelerated_computing,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,data_center,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,export_controls_china,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,supply_constraints,0.003861,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,competition,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,customer_concentration,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,gaming_cyclicality,0.0,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,margin_pricing_pressure,0.001931,
2025-02-26,2025-02-26,0001045810-25-000023,quant,keyword_score,inventory_demand_cyclicality,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,ai_accelerated_computing,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,data_center,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,export_controls_china,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,supply_constraints,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,competition,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,customer_concentration,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,gaming_cyclicality,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,margin_pricing_pressure,0.0,
2024-11-20,2024-11-20,0001045810-24-000316,mda,keyword_score,inventory_demand_cyclicality,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,ai_accelerated_computing,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,data_center,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,export_controls_china,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,supply_constraints,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,competition,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,customer_concentration,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,gaming_cyclicality,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,margin_pricing_pressure,0.0,
2024-08-28,2024-08-28,0001045810-24-000264,mda,keyword_score,inventory_demand_cyclicality,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,ai_accelerated_computing,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,data_center,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,export_controls_china,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,supply_constraints,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,competition,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,customer_concentration,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,gaming_cyclicality,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,margin_pricing_pressure,0.0,
2024-05-29,2024-05-29,0001045810-24-000124,mda,keyword_score,inventory_demand_cyclicality,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,ai_accelerated_computing,0.015702,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,data_center,0.005988,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,export_controls_china,0.001464,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,supply_constraints,0.00346,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,competition,0.004524,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,customer_concentration,0.000133,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,gaming_cyclicality,0.006786,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,margin_pricing_pressure,0.000266,
2024-02-21,2024-02-21,0001045810-24-000029,business,keyword_score,inventory_demand_cyclicality,0.001198,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,ai_accelerated_computing,0.003844,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,data_center,0.002108,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,export_controls_china,0.004216,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,supply_constraints,0.003844,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,competition,0.002108,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,customer_concentration,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,gaming_cyclicality,0.001674,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,margin_pricing_pressure,0.000806,
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,keyword_score,inventory_demand_cyclicality,0.006014,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,ai_accelerated_computing,0.005131,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,data_center,0.006574,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,export_controls_china,0.002245,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,supply_constraints,0.00465,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,competition,0.000802,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,customer_concentration,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,gaming_cyclicality,0.003207,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,margin_pricing_pressure,0.004169,
2024-02-21,2024-02-21,0001045810-24-000029,mda,keyword_score,inventory_demand_cyclicality,0.011223,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,ai_accelerated_computing,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,data_center,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,export_controls_china,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,supply_constraints,0.003868,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,competition,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,customer_concentration,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,gaming_cyclicality,0.0,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,margin_pricing_pressure,0.001934,
2024-02-21,2024-02-21,0001045810-24-000029,quant,keyword_score,inventory_demand_cyclicality,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,ai_accelerated_computing,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,data_center,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,export_controls_china,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,supply_constraints,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,competition,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,customer_concentration,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,gaming_cyclicality,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,margin_pricing_pressure,0.0,
2023-11-21,2023-11-21,0001045810-23-000227,mda,keyword_score,inventory_demand_cyclicality,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,ai_accelerated_computing,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,data_center,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,export_controls_china,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,supply_constraints,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,competition,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,customer_concentration,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,gaming_cyclicality,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,margin_pricing_pressure,0.0,
2023-08-28,2023-08-28,0001045810-23-000175,mda,keyword_score,inventory_demand_cyclicality,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,ai_accelerated_computing,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,data_center,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,export_controls_china,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,supply_constraints,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,competition,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,customer_concentration,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,gaming_cyclicality,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,margin_pricing_pressure,0.0,
2023-05-26,2023-05-26,0001045810-23-000093,mda,keyword_score,inventory_demand_cyclicality,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,ai_accelerated_computing,0.013068,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,data_center,0.005305,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,export_controls_china,0.000129,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,supply_constraints,0.00207,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,competition,0.003881,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,customer_concentration,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,gaming_cyclicality,0.007634,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,margin_pricing_pressure,0.000518,
2023-02-24,2023-02-24,0001045810-23-000017,business,keyword_score,inventory_demand_cyclicality,0.001294,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,ai_accelerated_computing,0.002644,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,data_center,0.000604,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,export_controls_china,0.003248,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,supply_constraints,0.003625,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,competition,0.002417,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,customer_concentration,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,gaming_cyclicality,0.002039,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,margin_pricing_pressure,0.000906,
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,keyword_score,inventory_demand_cyclicality,0.005665,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,ai_accelerated_computing,0.003018,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,data_center,0.003856,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,export_controls_china,0.001676,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,supply_constraints,0.001676,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,competition,0.000838,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,customer_concentration,0.000168,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,gaming_cyclicality,0.004359,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,margin_pricing_pressure,0.004694,
2023-02-24,2023-02-24,0001045810-23-000017,mda,keyword_score,inventory_demand_cyclicality,0.012909,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,ai_accelerated_computing,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,data_center,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,export_controls_china,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,supply_constraints,0.001387,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,competition,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,customer_concentration,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,gaming_cyclicality,0.0,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,margin_pricing_pressure,0.001387,
2023-02-24,2023-02-24,0001045810-23-000017,quant,keyword_score,inventory_demand_cyclicality,0.001387,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,ai_accelerated_computing,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,data_center,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,export_controls_china,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,supply_constraints,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,competition,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,customer_concentration,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,gaming_cyclicality,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,margin_pricing_pressure,0.0,
2022-11-18,2022-11-18,0001045810-22-000166,mda,keyword_score,inventory_demand_cyclicality,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,ai_accelerated_computing,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,data_center,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,export_controls_china,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,supply_constraints,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,competition,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,customer_concentration,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,gaming_cyclicality,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,margin_pricing_pressure,0.0,
2022-08-31,2022-08-31,0001045810-22-000147,mda,keyword_score,inventory_demand_cyclicality,0.0,
2022-05-27,2022-05-27,0001045810-22-000079,mda,keyword_score,ai_accelerated_computing,0.0,
2022-05-27,2022-05-27,0001045810-22-000079,mda,keyword_score,data_center,0.0,
2022-05-27,2022-05-27,0001045810-22-000079,mda,keyword_score,export_controls_china,0.0,
2022-05-27,2022-05-27,0001045810-22-000079,mda,keyword_score,supply_constraints,0.0,
2022-05-27,2022-05-27,0001045810-22-000079,mda,keyword_score,competition,0.0,
